stage,outcome,method,n_snp,beta,se,or_per_sd,ci_low,ci_high,p,mde_or_per_sd,Q,Q_df,phi,egger_intercept,egger_intercept_p,mean_r2_exposure,mean_r2_outcome,F_univariate,F_conditional_A,F_conditional_B
1 UVMR,FG_PAIN,IVW-MRE,42,0.010274658544398527,0.011781884205318949,1.0210858723231544,0.9743043618897279,1.0701136107362934,0.3831687657032309,1.069333634853106,166.64085490892506,41.0,4.0644110953396355,,,,,,,
1 UVMR,FG_PAIN,IVW-FE,42,0.010274658544398527,0.005844077087586537,1.0210858723231544,0.9976069676826455,1.0451173582717095,0.07872506355306856,,,,,,,,,,,
1 UVMR,FG_PAIN,weighted median,42,0.011816948101235777,0.012137266847525039,1.0242891432763228,,,0.33025088523167134,,,,,,,,,,,
1 UVMR,FG_PAIN,MR-Egger,42,0.006240207753360389,0.011518804668249342,1.0127537839006557,,,0.5879970011703806,,,,,0.002882974621416936,0.04070086061900225,,,,,
1 UVMR,FG_PAIN,Steiger,42,43.21173665230898,,,,,0.0,,,,,,,0.0013599190914290707,8.092501946782043e-06,,,
2 MVMR,FG_PAIN,IVW-MRE:TMFI,92,0.00906364009625112,0.011146698452812309,1.018577660345742,0.9743715323942861,1.064789370032184,0.41614737573263116,1.0654760034791901,272.76439144970027,90.0,3.030715460552225,,,,,26.623842461018324,23.879156588270273,24.568839688464777
2 MVMR,FG_PAIN,IVW-MRE:BMI,92,0.0531347483642117,0.036622069385160716,1.0545717373623458,0.9815282260245269,1.1330510114292383,0.1468093209237442,1.1080485328638192,272.76439144970027,90.0,3.030715460552225,,,,,47.97368492402759,43.028016564269414,41.768596382299314
2 MVMR,FG_PAIN,UVMR BMI,92,0.06231156980901148,0.034774777028996284,1.0642938949204088,0.9941700672298598,1.1393639097594763,0.07315522042343295,,,,,,,,,,,
1 UVMR,FG_LIMBPAIN,IVW-MRE,42,-0.0004029184897871533,0.014655411152182047,0.9991820539039586,0.9425610105228561,1.0592044076700369,0.9780666714493216,1.0869604924096763,85.13648517228619,41.0,2.0764996383484435,,,,,,,
1 UVMR,FG_LIMBPAIN,IVW-FE,42,-0.0004029184897871533,0.010170260499411039,0.9991820539039586,0.9595399398201382,1.040461929110395,0.9683982169482702,,,,,,,,,,,
1 UVMR,FG_LIMBPAIN,weighted median,42,0.002221970930340098,0.02300038044552125,1.0045227626213469,,,0.9230394234765207,,,,,,,,,,,
1 UVMR,FG_LIMBPAIN,MR-Egger,42,-0.003366474353107451,0.014809719067270166,0.9931863989746423,,,0.8201786492415594,,,,,0.0021153805649653055,0.24280793797705935,,,,,
1 UVMR,FG_LIMBPAIN,Steiger,42,43.25155440850213,,,,,0.0,,,,,,,0.0013599190914290707,5.029629632824502e-06,,,
2 MVMR,FG_LIMBPAIN,IVW-MRE:TMFI,92,-0.008446692504952601,0.013464287660341875,0.9829920421058329,0.9316954423638526,1.0371128921612125,0.5304360827931841,1.0796188871798644,131.42504725388264,90.0,1.4602783028209183,,,,,26.623842461018324,23.879156588270273,24.568839688464777
2 MVMR,FG_LIMBPAIN,IVW-MRE:BMI,92,0.1963691708696578,0.044236602825576114,1.2169760945386037,1.1159046590283772,1.3272019277775684,9.035038151124555e-06,1.131940330111614,131.42504725388264,90.0,1.4602783028209183,,,,,47.97368492402759,43.028016564269414,41.768596382299314
2 MVMR,FG_LIMBPAIN,UVMR BMI,92,0.18781379748461788,0.04194154526721342,1.206608820833391,1.1113865375790795,1.3099896366248303,7.534932209151506e-06,,,,,,,,,,,
1 UVMR,FG_FIBROMYALGIA,IVW-MRE,42,0.0083235484718611,0.03700137158763033,1.0170478469559532,0.8777609235895152,1.178437425498188,0.8220162807231474,1.2343291644897285,48.662206920036894,41.0,1.186883095610656,,,,,,,
1 UVMR,FG_FIBROMYALGIA,IVW-FE,42,0.0083235484718611,0.033963610435230815,1.0170478469559532,0.8884391584926863,1.164273673790635,0.8064002601398566,,,,,,,,,,,
1 UVMR,FG_FIBROMYALGIA,weighted median,42,-0.00817115302838289,0.028258425988947216,0.9835422673497486,,,0.7724603871405835,,,,,,,,,,,
1 UVMR,FG_FIBROMYALGIA,MR-Egger,42,0.010024414891853618,0.03798827584194391,1.0205670721092472,,,0.7918709944620914,,,,,-0.0012169628393765336,0.7934120577616146,,,,,
1 UVMR,FG_FIBROMYALGIA,Steiger,42,43.49671407770582,,,,,0.0,,,,,,,0.0013599190914290707,3.2118912240345056e-06,,,
2 MVMR,FG_FIBROMYALGIA,IVW-MRE:TMFI,92,0.000613624393001098,0.04077265100256163,1.0012469769170238,0.8512489250039004,1.1776760937241548,0.9879923690150034,1.261101038320736,107.99423769679707,90.0,1.1999359744088562,,,,,26.623842461018324,23.879156588270273,24.568839688464777
2 MVMR,FG_FIBROMYALGIA,IVW-MRE:BMI,92,0.03620899590458819,0.13402691136412645,1.0368725259590799,0.7973322985632763,1.3483771283641814,0.7870355253149411,1.4557042365142383,107.99423769679707,90.0,1.1999359744088562,,,,,47.97368492402759,43.028016564269414,41.768596382299314
2 MVMR,FG_FIBROMYALGIA,UVMR BMI,92,0.03683051689202054,0.12680349449397607,1.037517164302634,0.8092039176480085,1.330247966855265,0.7714693311488281,,,,,,,,,,,
