stage,outcome,method,n_snp,beta,se,or_per_sd,ci_low,ci_high,p,mde_or_per_sd,Q,Q_df,phi,egger_intercept,egger_intercept_p,mean_r2_exposure,mean_r2_outcome,F_univariate,F_conditional_A,F_conditional_B
1 UVMR,BACK_PAIN_UKB,IVW-MRE,42,0.006615124888449137,0.010583902189832049,1.0135252017353304,0.9717127725176818,1.057136803801712,0.5319595228237928,1.062069639789551,95.76392796798781,41.0,2.3357055601948247,,,,,,,
1 UVMR,BACK_PAIN_UKB,IVW-FE,42,0.006615124888449137,0.00692527096033521,1.0135252017353304,0.9859676667843531,1.0418529624839254,0.33946882202602213,,,,,,,,,,,
1 UVMR,BACK_PAIN_UKB,weighted median,42,0.004235009921454363,0.012547824235557406,1.008637908029027,,,,,,,,,,,,,,
1 UVMR,BACK_PAIN_UKB,MR-Egger,42,0.004578424431430305,0.010645943612373771,1.0093416128788075,,,0.6671499516687625,,,,,0.0015730675545316728,0.21731484847403992,,,,,
1 UVMR,BACK_PAIN_UKB,Steiger,42,43.71413997973517,,,,,0.0,,,,,,,0.0013599190914290707,4.983738383779962e-06,,,
2 MVMR,BACK_PAIN_UKB,IVW-MRE:TMFI,93,0.0002622021249782981,0.01200197148663448,1.000532643958357,0.9538567825700562,1.049492533804756,0.9825703312774465,1.070673531843255,229.1183753579144,91.0,2.517784344592466,,,,,26.34915122197833,23.614723428746522,24.299093002416637
2 MVMR,BACK_PAIN_UKB,IVW-MRE:BMI,93,0.12608395532543137,0.038101013393513496,1.134377401309198,1.0527501905627634,1.2223337503393132,0.0009356225799131542,1.1126491562703473,229.1183753579144,91.0,2.517784344592466,,,,,47.76989058779639,42.812489288510605,41.77237122291936
2 MVMR,BACK_PAIN_UKB,UVMR BMI,93,0.1263441192171625,0.03599499655547623,1.1346725637422532,1.0573797627728405,1.2176153471418487,0.00044802798328922276,,,,,,,,,,,
1 UVMR,KNEE_PAIN_UKB,IVW-MRE,42,0.014896393583249387,0.011586180534518818,1.0307151177655967,0.9842588830524557,1.079364049726264,0.19854653764022867,1.0681435944166464,101.04322163769186,41.0,2.4644688204315086,,,,,,,
1 UVMR,KNEE_PAIN_UKB,IVW-FE,42,0.014896393583249387,0.007380378369493434,1.0307151177655967,1.0008753934119192,1.0614444724922099,0.043551905294986266,,,,,,,,,,,
1 UVMR,KNEE_PAIN_UKB,weighted median,42,0.020454214666584283,0.017544682563379748,1.0424150050873857,,,,,,,,,,,,,,
1 UVMR,KNEE_PAIN_UKB,MR-Egger,42,0.01296196622663854,0.011708682236111167,1.0266737960158514,,,0.26827712780398516,,,,,0.0014943115574926388,0.2866180290533119,,,,,
1 UVMR,KNEE_PAIN_UKB,Steiger,42,43.413217920047174,,,,,0.0,,,,,,,0.0013599190914290707,5.4188930408755086e-06,,,
2 MVMR,KNEE_PAIN_UKB,IVW-MRE:TMFI,93,0.007140089483839543,0.01284293894756639,1.01460634005084,0.9640413916814754,1.0678234712265229,0.5782419712466287,1.0758088456298087,230.99487034824085,91.0,2.5384051686619875,,,,,26.34915122197833,23.614723428746522,24.299093002416637
2 MVMR,KNEE_PAIN_UKB,IVW-MRE:BMI,93,0.24303842223499172,0.04077053525744993,1.2751176160459496,1.1771875638343674,1.3811944542250336,2.5050102661312953e-09,1.1210017795746186,230.99487034824085,91.0,2.5384051686619875,,,,,47.76989058779639,42.812489288510605,41.77237122291936
2 MVMR,KNEE_PAIN_UKB,UVMR BMI,93,0.25012287289463747,0.0385822784388997,1.2841831983008212,1.1906526559461246,1.3850609399495155,9.000985313647303e-11,,,,,,,,,,,
1 UVMR,KNEE_PAIN_FIGSHARE,IVW-MRE,42,-0.0017480965649112454,0.010397151248539377,0.9964561127430192,0.9560582988118227,1.0385609181541786,0.8664792286651002,1.0609417247892814,78.15447438721549,41.0,1.9062066923711094,,,,,,,
1 UVMR,KNEE_PAIN_FIGSHARE,IVW-FE,42,-0.0017480965649112454,0.007530596303403687,0.9964561127430192,0.9670297980129577,1.0267778579969093,0.8164350597019263,,,,,,,,,,,
1 UVMR,KNEE_PAIN_FIGSHARE,weighted median,42,0.009807789502908493,0.017299837912679743,1.020118181478644,,,,,,,,,,,,,,
1 UVMR,KNEE_PAIN_FIGSHARE,MR-Egger,42,-0.0021447953049886772,0.010647577567077661,0.9956536419663135,,,0.8403584119888953,,,,,0.0003063390349143797,0.810164227256382,,,,,
1 UVMR,KNEE_PAIN_FIGSHARE,Steiger,42,43.496492415712105,,,,,0.0,,,,,,,0.0013599190914290707,4.333081713401206e-06,,,
2 MVMR,KNEE_PAIN_FIGSHARE,IVW-MRE:TMFI,93,0.00434576686249948,0.011874524602917963,1.0088648110330136,0.9622882969420695,1.0576957136182974,0.7143845021347311,1.069897427478884,189.69813054572754,91.0,2.084594841161841,,,,,26.34915122197833,23.614723428746522,24.299093002416637
2 MVMR,KNEE_PAIN_FIGSHARE,IVW-MRE:BMI,93,-0.10000648571312191,0.037699115215410736,0.904831549539075,0.8403836615020239,0.9742218590708663,0.0079837989628793,1.1113970651563585,189.69813054572754,91.0,2.084594841161841,,,,,47.76989058779639,42.812489288510605,41.77237122291936
2 MVMR,KNEE_PAIN_FIGSHARE,UVMR BMI,93,-0.09569473630179794,0.035641906030024574,0.9087413794862722,0.847425056860585,0.9744943084996271,0.007255283276165452,,,,,,,,,,,
