outcome,method,exposure,nsnp,df_p,beta,se,ci_low,ci_high,p_t,p_z,sd_exposure,sd_outcome,beta_standardized,se_standardized
CPI_full,IVW-multiplicative_random_effects,TMFI,93,91,-0.0031315288194449,0.0244108152976977,-0.050975848013581675,0.04471279037469187,0.8982069290992725,0.8979238444324129,2.030884204160846,2.8865034026794105,-0.002203279029008461,0.017174945698232493
CPI_full,IVW-multiplicative_random_effects,BMI,93,91,0.260973218152723,0.0774595654194694,0.10915525847491808,0.41279117783052793,0.0011072389031645561,0.000753992414765562,1.0,2.8865034026794105,0.09041154010436066,0.026835085435051694
CPI_full,IVW-fixed,TMFI,93,91,-0.0031315288194449,0.017729719427738,-0.03788114062791198,0.031618082989022175,0.8601946991603227,0.8598021968863279,2.030884204160846,2.8865034026794105,-0.002203279029008461,0.01247426457095914
CPI_full,IVW-fixed,BMI,93,91,0.260973218152723,0.0562593401790735,0.1507069367379854,0.3712394995674606,1.1702738234750399e-05,3.5051660300061657e-06,1.0,2.8865034026794105,0.09041154010436066,0.01949048115683858
CPI_full,Egger,TMFI,93,90,-0.0029892057214835,0.0244795765683932,-0.05096829453077771,0.04498988308781071,0.9030839985604191,0.9028117526112902,2.030884204160846,2.8865034026794105,-0.0021031434354495757,0.017223324708762637
CPI_full,Egger,BMI,93,90,0.27210749882207,0.0792687525975295,0.11674359740600573,0.42747140023813435,0.0009048498760084368,0.0005975570177860282,1.0,2.8865034026794105,0.09426889937821828,0.027461860091329844
CPI_full,Egger-intercept,NA,93,90,-0.001308457982907,0.0018585128380198,-0.004951076238963639,0.0023341602731496392,0.48322865719751934,0.4814110119081293,,2.8865034026794105,,
CPI_no_imaging,IVW-multiplicative_random_effects,TMFI,93,91,-0.0121369367917577,0.0272436710252068,-0.06553355122900612,0.04125967764549072,0.6570196407836618,0.6559616064177566,2.030884204160846,2.9314108779941446,-0.008408481186419533,0.018874440824312697
CPI_no_imaging,IVW-multiplicative_random_effects,BMI,93,91,0.297181431053857,0.0863881058205733,0.1278638536173429,0.4664990084903712,0.0008796782695995167,0.0005815562916229702,1.0,2.9314108779941446,0.10137829305498355,0.02946980461493186
CPI_no_imaging,IVW-fixed,TMFI,93,91,-0.0121369367917577,0.0202365137014057,-0.051799775132019624,0.02752590154850422,0.5501604556943974,0.5486699716642003,2.030884204160846,2.9314108779941446,-0.008408481186419533,0.014019875661917177
CPI_no_imaging,IVW-fixed,BMI,93,91,0.297181431053857,0.0641688150418137,0.17141286364924369,0.42294999845847037,1.2051281141482469e-05,3.6347545137745375e-06,1.0,2.9314108779941446,0.10137829305498355,0.0218900787752149
CPI_no_imaging,Egger,TMFI,93,90,-0.0121760536133229,0.0273910500066657,-0.06586152554858743,0.04150941832194163,0.6577289522939005,0.656661815050662,2.030884204160846,2.9314108779941446,-0.00843558135706777,0.018976545120819574
CPI_no_imaging,Egger,BMI,93,90,0.29413743425109,0.0886373847878711,0.12041135101271502,0.467863517489465,0.0013076599041861375,0.0009052326306529608,1.0,2.9314108779941446,0.10033988631861711,0.03023710713952265
CPI_no_imaging,Egger-intercept,NA,93,90,0.0003575810331512,0.0020790666716937,-0.0037173147969682707,0.0044324768632706705,0.8638306498146433,0.8634444996989592,,2.9314108779941446,,
