outcome,method,exposure,nsnp,beta,se,p_normal,ci_low,ci_high
CPI_full,primary_IVW_MRE,TMFI,93,-0.003131528819444988,0.024410815297697723,0.8979238444324102,-0.05097672680293252,0.04471366916404255
CPI_full,primary_IVW_MRE,BMI,93,0.26097321815272256,0.07745956541946936,0.0007539924147655722,0.10915246993056263,0.4127939663748825
CPI_full,exploratory_Huber_IRLS,TMFI,93,-0.0008686260398389715,0.021061252560166117,0.9671022948816742,-0.04214868105776456,0.04041142897808662
CPI_full,exploratory_Huber_IRLS,BMI,93,0.24136452055206786,0.06874461507801853,0.00044637121967819397,0.10662507499915155,0.3761039661049842
CPI_full,exclude_Cook_gt_4_over_n,TMFI,88,-0.011149308411274381,0.024294038285273566,0.6462830919710074,-0.058765623450410566,0.03646700662786181
CPI_full,exclude_Cook_gt_4_over_n,BMI,88,0.24600622651894277,0.07363995968908252,0.000835788578801135,0.10167190552834104,0.3903405475095445
CPI_full,exclude_top_1_Cook,TMFI,92,-0.0030554180383954056,0.02396493081965424,0.8985483270307004,-0.05002668244491772,0.0439158463681269
CPI_full,exclude_top_1_Cook,BMI,92,0.2271212960307402,0.07773138656459094,0.0034793257173838213,0.07476777836414195,0.37947481369733843
CPI_full,exclude_top_3_Cook,TMFI,90,-0.014971938745738085,0.025580115048717534,0.5583487111347374,-0.06510896424122445,0.03516508674974828
CPI_full,exclude_top_3_Cook,BMI,90,0.26565144266032015,0.0781519158976294,0.000675913396118822,0.11247368750096651,0.41882919781967376
CPI_no_imaging,primary_IVW_MRE,TMFI,93,-0.012136936791757688,0.02724367102520682,0.6559616064177571,-0.06553453200116305,0.04126065841764768
CPI_no_imaging,primary_IVW_MRE,BMI,93,0.2971814310538577,0.08638810582057337,0.0005815562916229608,0.1278607436455339,0.4665021184621815
CPI_no_imaging,exploratory_Huber_IRLS,TMFI,93,-0.007357863937739832,0.024156158123674033,0.7606740309202389,-0.054703933860140934,0.039988205984661275
CPI_no_imaging,exploratory_Huber_IRLS,BMI,93,0.26999336211617236,0.07784946762152443,0.00052406142167595,0.11740840557798449,0.42257831865436024
CPI_no_imaging,exclude_Cook_gt_4_over_n,TMFI,89,-0.017915787107454135,0.03012518843667886,0.5520365308126993,-0.0769611564433447,0.041129582228436434
CPI_no_imaging,exclude_Cook_gt_4_over_n,BMI,89,0.2934718112861218,0.08796024904760821,0.0008486666389977371,0.12106972315280973,0.4658738994194339
CPI_no_imaging,exclude_top_1_Cook,TMFI,92,-0.02718342143866861,0.02948595829782592,0.3565751400242908,-0.08497589970240742,0.030609056825070192
CPI_no_imaging,exclude_top_1_Cook,BMI,92,0.3084832593590531,0.08649064075497055,0.00036155131137939123,0.1389616034793108,0.47800491523879535
CPI_no_imaging,exclude_top_3_Cook,TMFI,90,-0.01642033223050586,0.03038395097841972,0.5889020300685422,-0.07597287614820851,0.04313221168719679
CPI_no_imaging,exclude_top_3_Cook,BMI,90,0.26622074630687903,0.08710606859810799,0.0022410006094956774,0.09549285185458736,0.4369486407591707
