outcome,method,exposure,nsnp,beta,se,p_normal,ci_low,ci_high,group_n
CPI_full,stratified:tool_group=BMI_only_GWS,TMFI,59,0.24702277062118513,0.14531175066212312,0.08914025304364076,-0.037788260676576174,0.5318338019189465,59
CPI_full,stratified:tool_group=BMI_only_GWS,BMI,59,0.09399587369751963,0.1368291973688791,0.4921093710061733,-0.17418935314548342,0.36218110054052266,59
CPI_full,stratified:tool_group=TMFI_only_GWS,TMFI,32,-0.009260693931775142,0.021324574668475683,0.6640899725254321,-0.051056860281987484,0.0325354724184372,32
CPI_full,stratified:tool_group=TMFI_only_GWS,BMI,32,0.12166306097709467,0.3035060714749048,0.6885241298849438,-0.4732088391137188,0.7165349610679081,32
CPI_full,stratified:strength_group=BMI_F_ge_10_only,TMFI,56,0.05090613656744244,0.17042560194261328,0.765168915558295,-0.2831280432400796,0.38494031637496445,56
CPI_full,stratified:strength_group=BMI_F_ge_10_only,BMI,56,0.15725734521168508,0.14101305950065512,0.26476599832298925,-0.11912825140959896,0.43364294183296914,56
CPI_full,stratified:strength_group=TMFI_F_ge_10_only,TMFI,26,-0.026779025958221476,0.028754413270788235,0.35169766678484826,-0.08313767596896642,0.029579624052523467,26
CPI_full,stratified:strength_group=TMFI_F_ge_10_only,BMI,26,0.4088824632394627,0.5478276885584926,0.4554435932428749,-0.6648598063351827,1.4826247328141082,26
CPI_full,stratified:strength_group=both_F_ge_10,TMFI,11,0.052737135118881485,0.056326197207065325,0.3491286480280292,-0.057662211406966556,0.16313648164472952,11
CPI_full,stratified:strength_group=both_F_ge_10,BMI,11,0.3974775782613055,0.16123697227718217,0.013694581434661672,0.0814531125980284,0.7135020439245825,11
CPI_no_imaging,stratified:tool_group=BMI_only_GWS,TMFI,59,0.23232402598274332,0.1604559651117866,0.14764530886726415,-0.08216966563635841,0.546817717601845,59
CPI_no_imaging,stratified:tool_group=BMI_only_GWS,BMI,59,0.1534884392389442,0.15123132991205224,0.3101416376789891,-0.1429249673886782,0.44990184586656656,59
CPI_no_imaging,stratified:tool_group=TMFI_only_GWS,TMFI,32,-0.016379756981417092,0.024850490443678805,0.5098109176157208,-0.06508671825102755,0.03232720428819337,32
CPI_no_imaging,stratified:tool_group=TMFI_only_GWS,BMI,32,0.12097479644064471,0.35372413520601875,0.7323484621877825,-0.5723245085631521,0.8142741014444415,32
CPI_no_imaging,stratified:strength_group=BMI_F_ge_10_only,TMFI,56,0.011497575131217028,0.18939209862513248,0.9515919302096298,-0.35971093817404265,0.3827060884364767,56
CPI_no_imaging,stratified:strength_group=BMI_F_ge_10_only,BMI,56,0.22805616853559177,0.15672817616381543,0.1456398141228603,-0.07913105674548646,0.53524339381667,56
CPI_no_imaging,stratified:strength_group=TMFI_F_ge_10_only,TMFI,26,-0.03915513627483613,0.03405352787665547,0.25022153814755926,-0.10590005091308086,0.02758977836340859,26
CPI_no_imaging,stratified:strength_group=TMFI_F_ge_10_only,BMI,26,0.485846698110169,0.648941082207425,0.45405243403452683,-0.7860778230163838,1.7577712192367219,26
CPI_no_imaging,stratified:strength_group=both_F_ge_10,TMFI,11,0.05923802460802397,0.06054192458643788,0.3278454522159241,-0.05942414758139427,0.1779001967974422,11
CPI_no_imaging,stratified:strength_group=both_F_ge_10,BMI,11,0.37283662277760116,0.17303756297163553,0.031188673059835983,0.03368299935319552,0.7119902462020068,11
