outcome,exposure,effect_sd_y_per_sd_exposure,power_two_sided_alpha_0_05
CPI_full,TMFI,0.01,0.08966229568670958
CPI_full,TMFI,0.02,0.2140992125798773
CPI_full,TMFI,0.03,0.4157596281460454
CPI_full,TMFI,0.04,0.6440536938435478
CPI_full,TMFI,0.05,0.8293519405221094
CPI_full,TMFI,0.075,0.991966495854185
CPI_full,TMFI,0.1,0.9999440384906375
CPI_full,BMI,0.01,0.06056945514881118
CPI_full,BMI,0.02,0.09296537502859803
CPI_full,BMI,0.03,0.1485739789216569
CPI_full,BMI,0.04,0.22777881593502702
CPI_full,BMI,0.05,0.32809808433805543
CPI_full,BMI,0.075,0.6221725496165594
CPI_full,BMI,0.1,0.8572857813863206
CPI_no_imaging,TMFI,0.01,0.08252018064580946
CPI_no_imaging,TMFI,0.02,0.18436852440372187
CPI_no_imaging,TMFI,0.03,0.35384049845888144
CPI_no_imaging,TMFI,0.04,0.5606871489727837
CPI_no_imaging,TMFI,0.05,0.7520052372186434
CPI_no_imaging,TMFI,0.075,0.9773141619954676
CPI_no_imaging,TMFI,0.1,0.9995524495911954
CPI_no_imaging,BMI,0.01,0.05869775412868217
CPI_no_imaging,BMI,0.02,0.08527187208050702
CPI_no_imaging,BMI,0.03,0.1307783299453218
CPI_no_imaging,BMI,0.04,0.19584270721844232
CPI_no_imaging,BMI,0.05,0.27945319452330786
CPI_no_imaging,BMI,0.075,0.5404019339081679
CPI_no_imaging,BMI,0.1,0.7847949860567545
