"stage","outcome","scenario","intercept_tmfi","intercept_tmfi_se","intercept_bmi","n_shared_times_rho","beta_observed_raw","se_raw","bias_raw","bias_std","bias_in_se","beta_corrected_raw","beta_obs_std","se_std","beta_corr_std","tmfi_bias_std","tmfi_bias_in_se","tmfi_corrected_std","tmfi_se_std","tmfi_p_after","bmi_bias_std","bmi_bias_in_se","bmi_corrected_std","bmi_se_std","bmi_p_after"
"Stage 1 univariable IVW","CPI_full","measured",0.0523233181555767,0.00772238278734164,-0.0192742458861484,4112.38209922763,0.0108656809106435,0.0162217529824388,0.000693571400917017,0.000487982587435412,0.0427556381648677,0.0101721095097265,0.00764486984038401,0.0114132921032246,0.0071568872529486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stage 1 univariable IVW","CPI_no_imaging","measured",0.0122164715026142,0.00736861779584559,-0.0108189136429482,854.773773094874,0.00722009522502227,0.0185143317076477,0.000184838823716983,0.000128056505008165,0.00998355364026622,0.00703525640130529,0.00500208853178039,0.0128267458284273,0.00487403202677222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stage 2 multivariable IVW","CPI_full","A. measured intercepts (TMFI and BMI)",0.0523233181555767,NA,-0.0192742458861484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00140801622284459,0.112873670300238,-0.00361129555921988,0.0124742663111719,0.772199058231768,-0.0014979000600268,-0.0624439507572564,0.112771918566664,0.0239879130301942,2.58640108126001e-06
"Stage 2 multivariable IVW","CPI_full","B. BMI at the upper 95% CI bound of its intercept",0.0523233181555767,NA,0.00261985929800214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00127468273139608,0.102184986242796,-0.00347796206777137,0.0124742663111719,0.780389909012638,-0.000677608083944005,-0.0282478964756576,0.111951626590581,0.0239879130301942,3.05627069021088e-06
"Stage 2 multivariable IVW","CPI_full","C. BMI overlapping the outcome as much as TMFI does (>10x measured)",0.0523233181555767,NA,0.0523233181555767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000971992319944805,0.0779197987038556,-0.0031752716563201,0.0124742663111719,0.799073953005152,0.00118459857586251,0.0493831445183006,0.110089419930775,0.0239879130301942,4.44584753728114e-06
"Stage 2 multivariable IVW","CPI_full","D. BMI intercept 3x the TMFI intercept (extreme stress test)",0.0523233181555767,NA,0.15696995446673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000334701995889473,0.0268313973375504,-0.00253798133226477,0.0124742663111719,0.838777567859416,0.00510532497084824,0.212829059552702,0.106168693535789,0.0239879130301942,9.60300808144468e-06
"Stage 2 structural ceiling","CPI_full","max attainable intercept vs tipping point",0.586753268860645,NA,0.76518596673124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.897120760075663,1.27064598314862,NA,NA,NA,1.7150783867768,1.24218633244417,NA
"Stage 2 multivariable IVW","CPI_no_imaging","A. measured intercepts (TMFI and BMI)",0.0122164715026142,NA,-0.0108189136429482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00041283692682661,0.0294465481694939,-0.00882131776328361,0.0140198750784074,0.529217551581546,-0.000658659919858675,-0.0244480421783199,0.125429988904274,0.0269412133312975,3.22894480743216e-06
"Stage 2 multivariable IVW","CPI_no_imaging","B. BMI at the upper 95% CI bound of its intercept",0.0122164715026142,NA,0.00942697054464456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00027424764134215,0.0195613470026227,-0.00868272847779915,0.0140198750784074,0.535708416353869,0.000192926013848245,0.00716099945001823,0.124578402970567,0.0269412133312975,3.76259435865113e-06
"Stage 2 multivariable IVW","CPI_no_imaging","C. BMI overlapping the outcome as much as TMFI does (>10x measured)",0.0122164715026142,NA,0.0122164715026142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000255152651909179,0.0181993527390376,-0.00866363348836618,0.0140198750784074,0.536605868175884,0.000310258492679904,0.0115161291685211,0.124461070491736,0.0269412133312975,3.84243920925118e-06
"Stage 2 multivariable IVW","CPI_no_imaging","D. BMI intercept 3x the TMFI intercept (extreme stress test)",0.0122164715026142,NA,0.0366494145078427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79016648936412e-05,0.00626978945261947,-0.00849638250135064,0.0140198750784074,0.544498734525144,0.0013379612291732,0.0496622484191866,0.123433367755243,0.0269412133312975,4.6147243122277e-06
"Stage 2 structural ceiling","CPI_no_imaging","max attainable intercept vs tipping point",0.659095427175597,NA,0.681218037717798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.685018122286036,1.0281469268519,NA,NA,NA,1.71095645937918,1.27626050759002,NA
