phenocode	phenotype	category	num_cases	num_controls	path_bucket	path_https
AB1TUBERCU_MILIARY	Miliary tuberculosis	I Certain infectious and parasitic diseases (AB1_)	60	497285	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1TUBERCU_MILIARY.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1TUBERCU_MILIARY.gz
AB1_ACTINOMYCOSIS	Actinomycosis	I Certain infectious and parasitic diseases (AB1_)	124	439048	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ACTINOMYCOSIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ACTINOMYCOSIS.gz
AB1_AMOEBIASIS	Amoebiasis	I Certain infectious and parasitic diseases (AB1_)	197	444292	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_AMOEBIASIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_AMOEBIASIS.gz
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	2510	485458	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ANOGENITAL_HERPES_SIMPLEX.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ANOGENITAL_HERPES_SIMPLEX.gz
AB1_ASPERGILLOSIS	Aspergillosis	I Certain infectious and parasitic diseases (AB1_)	260	488977	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ASPERGILLOSIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ASPERGILLOSIS.gz
AB1_ATYPICAL_CNS_VIRUS	Atypical virus infections of central nervous system	I Certain infectious and parasitic diseases (AB1_)	334	497501	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ATYPICAL_CNS_VIRUS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ATYPICAL_CNS_VIRUS.gz
AB1_BACTINF_NOS	Bacterial infection, other or unspecified	I Certain infectious and parasitic diseases (AB1_)	25506	439048	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_BACTINF_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_BACTINF_NOS.gz
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	I Certain infectious and parasitic diseases (AB1_)	3521	496827	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_BACT_BIR_OTHER_INF_AGENTS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_BACT_BIR_OTHER_INF_AGENTS.gz
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	7671	444292	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_BACT_INTEST_OTH.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_BACT_INTEST_OTH.gz
AB1_CANDIDIASIS	Candidiasis	I Certain infectious and parasitic diseases (AB1_)	5341	488977	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_CANDIDIASIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_CANDIDIASIS.gz
