analysis,outcome,exposure,n_snp,beta,se,ci_low,ci_high,p,p_normal,estimate_unit,scale,beta_std,se_std,ci_low_std,ci_high_std
Primary MVMR-IVW (MRE),CPI_full,TMFI,93,-0.0031315288194449,0.0244108152976977,-0.050976726802932394,0.04471366916404259,0.898206929099271,0.8979238444324129,CPI raw outcome units per one exposure unit,0.703579355657668,-0.002203279029008461,0.017174945698232493,-0.03586617259754415,0.031459614539527225
Primary MVMR-IVW (MRE),CPI_full,BMI,93,0.260973218152723,0.0774595654194693,0.10915246993056318,0.41279396637488286,0.0011072389031645,0.0007539924147655516,CPI raw outcome units per one exposure unit,0.3464399172617449,0.09041154010436066,0.02683508543505166,0.037814772651659403,0.14300830755706193
Primary MVMR-IVW (MRE),CPI_no_imaging,TMFI,93,-0.0121369367917577,0.0272436710252068,-0.06553453200116302,0.041260658417647623,0.657019640783662,0.6559616064177567,CPI raw outcome units per one exposure unit,0.6928009373938411,-0.008408481186419533,0.018874440824312697,-0.04540238520207242,0.02858542282923335
Primary MVMR-IVW (MRE),CPI_no_imaging,BMI,93,0.297181431053858,0.0863881058205733,0.12786074364553437,0.4665021184621817,0.0008796782695995,0.000581556291622946,CPI raw outcome units per one exposure unit,0.3411326632874689,0.1013782930549839,0.02946980461493186,0.04361747600971745,0.15913911010025036
Sensitivity: exclude rs731839 + rs13107325,CPI_full,TMFI,91,-0.018239143722616,0.025921183366694,-0.069043729557995,0.0325654421127628,0.4816579014019035,0.4816579014019035,CPI raw outcome units per one exposure unit,0.703579355657668,-0.012832684988105768,0.018237609491022825,-0.04857774275461641,0.022912372778404737
Sensitivity: exclude rs731839 + rs13107325,CPI_full,BMI,91,0.2524973683193219,0.0761500730375837,0.103245967745563,0.4017487688930807,0.0009138568337173,0.0009138568337173,CPI raw outcome units per one exposure unit,0.3464399172617449,0.08747516738935421,0.026381425002616327,0.035768524523381626,0.13918181025532675
Sensitivity: exclude five review targets,CPI_full,TMFI,88,-0.0111493084112743,0.0242940382852735,-0.0587647484894477,0.036466131666899,0.646283091971007,0.646283091971007,CPI raw outcome units per one exposure unit,0.703579355657668,-0.00784442322803299,0.017092783803075447,-0.04134566387759054,0.025656817421524484
Sensitivity: exclude five review targets,CPI_full,BMI,88,0.2460062265189429,0.0736399596890825,0.1016745577053598,0.390337895332526,0.0008357885788011,0.0008357885788011,CPI raw outcome units per one exposure unit,0.3464399172617449,0.08522637676109665,0.025511821541843973,0.03522412535906935,0.13522862816312395
Sensitivity: exclude rs731839 + rs13107325,CPI_no_imaging,TMFI,91,-0.0317052006865955,0.0291348889939943,-0.0888085338083967,0.0253981324352057,0.2764975160091582,0.2764975160091582,CPI raw outcome units per one exposure unit,0.6928009373938411,-0.021965392755933216,0.020184678405904755,-0.061526635471029864,0.01759584995916343
Sensitivity: exclude rs731839 + rs13107325,CPI_no_imaging,BMI,91,0.2938535810875564,0.0855199017635662,0.126237653669563,0.4614695085055497,0.0005901875726968,0.0005901875726968,CPI raw outcome units per one exposure unit,0.3411326632874689,0.1002430547329583,0.029173631852688047,0.04306378700345914,0.15742232246245744
Sensitivity: exclude five review targets,CPI_no_imaging,TMFI,88,-0.0244559997853248,0.0279729149380277,-0.0792819056064617,0.030369906035812,0.3819689080577915,0.3819689080577915,CPI raw outcome units per one exposure unit,0.6928009373938411,-0.0169431395761766,0.019379661690703768,-0.05492657852252669,0.021040299370173425
Sensitivity: exclude five review targets,CPI_no_imaging,BMI,88,0.2831526557056811,0.0847239512534017,0.1170967626210864,0.4492085487902757,0.0008315863312662,0.0008315863312662,CPI raw outcome units per one exposure unit,0.3411326632874689,0.09659261955779871,0.028902107135310606,0.03994553049527174,0.15323970862032565
