SNP	key	chrom_x	position_x	tmfi_rsid	tmfi_beta	tmfi_se	tmfi_n	tmfi_af	chrom_y	position_y	bmi_rsid	bmi_beta	bmi_se	bmi_n	bmi_af	chrom	position	out_rsid	out_beta	out_se	out_n	out_af
rs1421085	16053800954	16	53800954	rs1421085	0.0749713	0.0136817	46347	0.399745	16	53800954	rs1421085	0.0813	0.0031	318182.0	0.45	16	53801000.0	rs1421085	-0.00266565	0.000915057	429737	0.403115
rs731839	19033899065	19	33899065	rs731839	0.267071	0.0142463	46347	0.666516	19	33899065	rs731839	0.0069	0.0033	321597.0	0.6667	19	33899100.0	rs731839	0.00143017	0.000952771	429737	0.666436
rs571312	18057839769	18	57839769	rs571312	0.0360435	0.0157873	46347	0.234492	18	57839769	rs571312	0.0553	0.0036	321876.0	0.2833	18	57839800.0	rs571312	-0.000569837	0.0010598	429737	0.234011
rs2867110	2000651105	2	651105	rs2867110	-0.0580877	0.0176868	46330	0.171638	2	651105	rs2867110	-0.0598	0.004	322079.0	0.125	2	651105.0	rs2867110	-0.000157745	0.00118921	429737	0.171931
rs13083375	3012365308	3	12365308	rs13083375	0.294211	0.0205252	46298	0.120275	3	12365308	rs13083375	0.0238	0.0046	322090.0	0.075	3	12365300.0	rs13083375	-0.0009502529999999999	0.0013877300000000002	429737	0.118588
rs749170	13022350875	13	22350875	rs749170	0.191398	0.0142881	45258	0.336316	13	22350875	rs749170	0.0056	0.004	233998.0	0.3583	13	22350900.0	rs749170	0.000511122	0.0009571169999999998	429737	0.336242
rs10938397	4045182527	4	45182527	rs10938397	0.0205291	0.0135123	46347	0.435951	4	45182527	rs10938397	0.0402	0.0031	320955.0	0.4333	4	45182500.0	rs10938397	-0.0014732	0.0009079549999999999	429737	0.434306
rs543874	1177889480	1	177889480	rs543874	0.0244413	0.0164798	46347	0.206637	1	177889480	rs543874	0.0482	0.0039	322008.0	0.2667	1	177889000.0	rs543874	-0.000703729	0.00110952	429737	0.206739
rs11010551	10036466053	10	36466053	rs11010551	-0.155875	0.0137149	46347	0.381298	10	36466053	rs11010551	-0.0087	0.0038	233907.0	0.4083	10	36466100.0	rs11010551	0.000274437	0.000926017	429737	0.377348
rs4715210	6050897251	6	50897251	rs4715210	0.0320822	0.0178702	46347	0.167627	6	50897251	rs4715210	0.0444	0.004	322141.0	0.1	6	50897300.0	rs4715210	0.000536325	0.00119941	429737	0.168624
rs11030104	11027684517	11	27684517	rs11030104	0.000365336	0.0165817	46262	0.203407	11	27684517	rs11030104	-0.0414	0.0038	322103.0	0.2	11	27684500.0	rs11030104	4.08191e-05	0.00111503	429737	0.203885
rs3101336	1072751185	1	72751185	rs3101336	0.0231524	0.0135546	46347	0.595465	1	72751185	rs3101336	0.0334	0.0031	316872.0	0.6491	1	72751200.0	rs3101336	-0.000593764	0.0009162060000000001	429737	0.601781
rs7138803	12050247468	12	50247468	rs7138803	0.028499	0.0138278	46347	0.366572	12	50247468	rs7138803	0.0315	0.0031	322092.0	0.4417	12	50247500.0	rs7138803	-0.0014967400000000003	0.000929931	429737	0.369218
rs10182181	2025150296	2	25150296	rs10182181	0.0269424	0.0134155	46028	0.48515	2	25150296	rs10182181	0.0307	0.0031	321759.0	0.5	2	25150300.0	rs10182181	-0.00120964	0.000898694	429737	0.486032
rs3888190	16028889486	16	28889486	rs3888190	0.0883385	0.0136666	46344	0.39593	16	28889486	rs3888190	0.0309	0.0031	321930.0	0.3583	16	28889500.0	rs3888190	-0.00114468	0.000915824	429737	0.40026
rs2791553	1219676042	1	219676042	rs2791553	-0.133217	0.013544	46347	0.593027	1	219676042	rs2791553	-0.0044	0.0038	233943.0	0.5917	1	219676000.0	rs2791553	-0.000960171	0.0009136829999999999	429737	0.594943
rs3777866	6133796586	6	133796586	rs3777866	0.13976	0.0142905	46347	0.320441	6	133796586	rs3777866	0.0006	0.0041	233922.0	0.3333	6	133797000.0	rs3777866	0.00135093	0.000961738	429737	0.319946
rs4234589	3185818882	3	185818882	rs4234589	-0.0448357	0.0195178	46171	0.136666	3	185818882	rs4234589	-0.0447	0.0046	320707.0	0.0917	3	185819000.0	rs4234589	0.000634682	0.00130999	429737	0.136433
rs17055814	5157967725	5	157967725	rs17055814	0.147145	0.0152832	46203	0.259518	5	157967725	rs17055814	0.0057	0.0042	233948.0	0.225	5	157968000.0	rs17055814	-0.000819333	0.00103229	429737	0.254553
rs10841520	12020586395	12	20586395	rs10841520	0.15996	0.0170103	44785	0.198336	12	20586395	rs10841520	0.0034	0.0047	232196.0	0.2083	12	20586400.0	rs10841520	0.0014600100000000003	0.00113229	429737	0.202812
rs11672660	19046180184	19	46180184	rs11672660	-0.0172207	0.0168558	46342	0.195406	19	46180184	rs11672660	-0.0345	0.004	297174.0	0.175	19	46180200.0	rs11672660	0.00262018	0.00113285	429737	0.194242
rs2241423	15068086838	15	68086838	rs2241423	-0.035124	0.0158949	46347	0.227221	15	68086838	rs2241423	-0.031	0.0037	322117.0	0.2167	15	68086800.0	rs2241423	-0.000641343	0.00107246	429737	0.225569
rs3817334	11047650993	11	47650993	rs3817334	-0.000200985	0.0135815	46347	0.407524	11	47650993	rs3817334	0.0262	0.0031	321959.0	0.45	11	47651000.0	rs3817334	-0.0035200999999999995	0.000912187	429737	0.407164
rs2112347	5075015242	5	75015242	rs2112347	-0.01942	0.0139412	46347	0.359462	5	75015242	rs2112347	-0.0261	0.0031	322019.0	0.375	5	75015200.0	rs2112347	0.0024164	0.00093767	429737	0.360019
rs7141420	14079899454	14	79899454	rs7141420	0.0227003	0.0135569	45211	0.515992	14	79899454	rs7141420	0.0235	0.0031	321970.0	0.6167	14	79899500.0	rs7141420	-0.00086996	0.000904774	429737	0.515439
rs13098327	3085820181	3	85820181	rs13098327	-0.0165366	0.0167691	46063	0.201029	3	85820181	rs13098327	0.0295	0.0039	322055.0	0.1833	3	85820200.0	rs13098327	-0.00162622	0.00112177	429737	0.201085
rs16930370	12003387697	12	3387697	rs16930370	-0.134898	0.0177423	45864	0.172357	12	3387697	rs16930370	0.001	0.0049	233890.0	0.175	12	3387700.0	rs16930370	0.00359392	0.00119222	429737	0.172781
